,class,layer,A,B,correlation,pvalue
206,junco_bird,dense_2,ablation_impact,procrustes,0.12158375177486576,0.6537526435605397
207,junco_bird,dense_2,ablation_impact,pwcca,0.08582382478225818,0.7519786345946656
208,junco_bird,dense_2,ablation_impact,mean_sq_cca_corr,-0.014303970797043031,0.9580690895748394
209,junco_bird,dense_2,ablation_impact,mean_cca_corr,-0.014303970797043031,0.9580690895748394
210,snail,conv_1,decoding_accuracy_delta,cka,0.2058823529411765,0.25827701421933486
211,snail,conv_1,decoding_accuracy_delta,procrustes,0.09705882352941178,0.5971844718503979
212,snail,conv_1,decoding_accuracy_delta,pwcca,0.08823529411764708,0.6310751201862375
213,snail,conv_1,decoding_accuracy_delta,mean_sq_cca_corr,-0.07941176470588238,0.6657184864953197
214,snail,conv_1,decoding_accuracy_delta,mean_cca_corr,-0.07941176470588238,0.6657184864953197
215,snail,conv_1,ablation_impact,cka,0.4823529411764707,0.005176984915034213
216,snail,conv_1,ablation_impact,procrustes,0.435294117647059,0.012774312123462118
217,snail,conv_1,ablation_impact,pwcca,0.5029411764705883,0.003347542164382414
218,snail,conv_1,ablation_impact,mean_sq_cca_corr,-0.5000000000000001,0.0035685233088176747
219,snail,conv_1,ablation_impact,mean_cca_corr,-0.5000000000000001,0.0035685233088176747
220,snail,conv_2,decoding_accuracy_delta,cka,0.23235294117647062,0.20065362368440823
221,snail,conv_2,decoding_accuracy_delta,procrustes,0.21176470588235297,0.24462035523665868
222,snail,conv_2,decoding_accuracy_delta,pwcca,0.05882352941176471,0.749124364616871
223,snail,conv_2,decoding_accuracy_delta,mean_sq_cca_corr,-0.05882352941176471,0.749124364616871
224,snail,conv_2,decoding_accuracy_delta,mean_cca_corr,-0.05882352941176471,0.749124364616871
225,snail,conv_2,ablation_impact,cka,0.12223871872434884,0.5051033721889875
226,snail,conv_2,ablation_impact,procrustes,0.15611209861181902,0.39353885203141714
227,snail,conv_2,ablation_impact,pwcca,0.26067774956879214,0.14958519653859087
228,snail,conv_2,ablation_impact,mean_sq_cca_corr,-0.26067774956879214,0.14958519653859087
229,snail,conv_2,ablation_impact,mean_cca_corr,-0.26067774956879214,0.14958519653859087
230,snail,conv_3,decoding_accuracy_delta,cka,0.5941176470588236,0.00033690639650987955
231,snail,conv_3,decoding_accuracy_delta,procrustes,0.6088235294117649,0.00021766199081430198
232,snail,conv_3,decoding_accuracy_delta,pwcca,0.44117647058823545,0.01148627849757485
233,snail,conv_3,decoding_accuracy_delta,mean_sq_cca_corr,-0.5529411764705884,0.0010304395495509637
234,snail,conv_3,decoding_accuracy_delta,mean_cca_corr,-0.5529411764705884,0.0010304395495509637
235,snail,conv_3,ablation_impact,cka,-0.2384106605706304,0.18883291971280364
236,snail,conv_3,ablation_impact,procrustes,-0.15452542814763084,0.39842418243166666
237,snail,conv_3,ablation_impact,pwcca,-0.010301695209842055,0.9553752408056944
238,snail,conv_3,ablation_impact,mean_sq_cca_corr,-0.06916852498036809,0.7067979286353203
239,snail,conv_3,ablation_impact,mean_cca_corr,-0.06916852498036809,0.7067979286353203
240,snail,conv_4,decoding_accuracy_delta,cka,0.4147058823529412,0.11022940391770164
241,snail,conv_4,decoding_accuracy_delta,procrustes,0.4705882352941176,0.06581947250108118
242,snail,conv_4,decoding_accuracy_delta,pwcca,0.19117647058823528,0.47816401281702825
243,snail,conv_4,decoding_accuracy_delta,mean_sq_cca_corr,-0.1411764705882353,0.6020026838819791
244,snail,conv_4,decoding_accuracy_delta,mean_cca_corr,-0.1411764705882353,0.6020026838819791
245,snail,conv_4,ablation_impact,cka,-0.02060339041968411,0.9396294086034467
246,snail,conv_4,ablation_impact,procrustes,0.0014716707442631505,0.9956841717756223
247,snail,conv_4,ablation_impact,pwcca,0.22369395312799886,0.4049436432683511
248,snail,conv_4,ablation_impact,mean_sq_cca_corr,-0.22663729461652518,0.3986265512599061
249,snail,conv_4,ablation_impact,mean_cca_corr,-0.22663729461652518,0.3986265512599061
250,snail,conv_5,decoding_accuracy_delta,cka,0.3588235294117647,0.17230386289263244
251,snail,conv_5,decoding_accuracy_delta,procrustes,0.36176470588235293,0.16855882250388438
252,snail,conv_5,decoding_accuracy_delta,pwcca,0.34411764705882353,0.19185563142554293
253,snail,conv_5,decoding_accuracy_delta,mean_sq_cca_corr,-0.34411764705882353,0.19185563142554293
254,snail,conv_5,decoding_accuracy_delta,mean_cca_corr,-0.34411764705882353,0.19185563142554293
255,snail,conv_5,ablation_impact,cka,0.12950702549515725,0.6326299103072028
256,snail,conv_5,ablation_impact,procrustes,0.2045622334525779,0.4472751519912378
257,snail,conv_5,ablation_impact,pwcca,0.2104489164296305,0.4340184998606945
258,snail,conv_5,ablation_impact,mean_sq_cca_corr,-0.2104489164296305,0.4340184998606945
259,snail,conv_5,ablation_impact,mean_cca_corr,-0.2104489164296305,0.4340184998606945
260,snail,dense_1,decoding_accuracy_delta,cka,0.13823529411764704,0.6096659407501825
261,snail,dense_1,decoding_accuracy_delta,procrustes,0.13823529411764704,0.6096659407501825
262,snail,dense_1,decoding_accuracy_delta,pwcca,0.10882352941176471,0.688288293957414
263,snail,dense_1,decoding_accuracy_delta,mean_sq_cca_corr,-0.10882352941176471,0.688288293957414
264,snail,dense_1,decoding_accuracy_delta,mean_cca_corr,-0.10882352941176471,0.688288293957414
265,snail,dense_1,ablation_impact,cka,0.03244851875892721,0.905040987223333
266,snail,dense_1,ablation_impact,procrustes,0.03244851875892721,0.905040987223333
267,snail,dense_1,ablation_impact,pwcca,-0.04719784546753049,0.8622013996465866
268,snail,dense_1,ablation_impact,mean_sq_cca_corr,0.04719784546753049,0.8622013996465866
269,snail,dense_1,ablation_impact,mean_cca_corr,0.04719784546753049,0.8622013996465866
270,snail,dense_2,decoding_accuracy_delta,cka,0.4588235294117647,0.07383553449548107
271,snail,dense_2,decoding_accuracy_delta,procrustes,0.36176470588235293,0.16855882250388438
272,snail,dense_2,decoding_accuracy_delta,pwcca,0.35000000000000003,0.18386882202619317
273,snail,dense_2,decoding_accuracy_delta,mean_sq_cca_corr,-0.35000000000000003,0.18386882202619317
274,snail,dense_2,decoding_accuracy_delta,mean_cca_corr,-0.35000000000000003,0.18386882202619317
275,snail,dense_2,ablation_impact,cka,0.04630890694121932,0.8647743109373531
276,snail,dense_2,ablation_impact,procrustes,0.06722260685015709,0.8046314898016736
277,snail,dense_2,ablation_impact,pwcca,0.07767945680462597,0.7749203337355663
278,snail,dense_2,ablation_impact,mean_sq_cca_corr,-0.07767945680462597,0.7749203337355663
279,snail,dense_2,ablation_impact,mean_cca_corr,-0.07767945680462597,0.7749203337355663
280,grey_whale,conv_1,decoding_accuracy_delta,cka,0.29411764705882354,0.268846554622893
281,grey_whale,conv_1,decoding_accuracy_delta,procrustes,0.3,0.25893645256249886
282,grey_whale,conv_1,decoding_accuracy_delta,pwcca,0.21470588235294116,0.4245592336201027
283,grey_whale,conv_1,decoding_accuracy_delta,mean_sq_cca_corr,-0.22941176470588234,0.39272049088161975
284,grey_whale,conv_1,decoding_accuracy_delta,mean_cca_corr,-0.19117647058823528,0.47816401281702825
285,grey_whale,conv_1,ablation_impact,cka,0.7205882352941175,0.001638191163879613
286,grey_whale,conv_1,ablation_impact,procrustes,0.7147058823529412,0.0018627410999474353
287,grey_whale,conv_1,ablation_impact,pwcca,0.7147058823529412,0.0018627410999474353
