,class,layer,tile,decoding_accuracy_delta,ablation_impact,cka,procrustes,pwcca,mean_sq_cca_corr,mean_cca_corr
336,snail,conv_1,0,0.015681209147676498,2.3,7.039308547973633e-05,5.1975250244140625e-05,1.429178203893322e-06,0.9979961166678326,0.9979980877779123
337,snail,conv_1,1,-0.0013826618667754087,4.66,0.0011937618255615234,0.0006244182586669922,1.457146431405043e-06,0.9979960584374813,0.9979980585207375
338,snail,conv_1,2,-0.0023276419107770008,2.48,0.0014339089393615723,0.0006382465362548828,1.4924240784308651e-06,0.9979959606143507,0.9979980093528014
339,snail,conv_1,3,0.007616642942080365,19.26,0.038023173809051514,0.013111114501953125,1.6367873363343222e-06,0.9979955780819771,0.9979978094283849
340,snail,conv_1,4,-0.01959012067536911,0.5,1.8477439880371094e-06,8.821487426757812e-06,1.411759702363291e-06,0.9979961699299897,0.9979981144676567
341,snail,conv_1,5,-0.016403720026543722,1.22,2.1517276763916016e-05,1.4543533325195312e-05,1.4069892773083126e-06,0.99799614998779,0.997998104470972
342,snail,conv_1,6,-0.006782784962982763,2.52,3.814697265625e-05,2.4318695068359375e-05,1.407266060460266e-06,0.9979961766627545,0.9979981177476209
343,snail,conv_1,7,-0.013432979401156009,2.64,0.0006998181343078613,0.00030303001403808594,1.4759298028188539e-06,0.9979959879413027,0.9979980228419255
344,snail,conv_1,8,-0.014762376724238108,1.56,6.079673767089844e-06,8.58306884765625e-06,1.4405611958867581e-06,0.9979960926042062,0.9979980758008874
345,snail,conv_1,9,-0.005666552016837162,1.38,1.728534698486328e-05,1.0967254638671875e-05,1.4043876498393004e-06,0.9979961577212796,0.9979981083285315
346,snail,conv_1,10,-0.0084746903523234,2.22,4.673004150390625e-05,2.9802322387695312e-05,1.4470649786213485e-06,0.9979961023986333,0.9979980806021815
347,snail,conv_1,11,-0.015257765748304924,4.74,0.0007333159446716309,0.0003285408020019531,1.4876156610998947e-06,0.9979959644312573,0.997998010896649
348,snail,conv_1,12,0.02037099828752588,2.22,4.220008850097656e-05,2.9802322387695312e-05,1.4261935185055918e-06,0.9979961202812656,0.9979980895996328
349,snail,conv_1,13,0.013756609530091016,10.56,0.00041615962982177734,0.00015854835510253906,1.441656452993989e-06,0.9979960807531096,0.9979980697139045
350,snail,conv_1,14,0.004830962933069671,1.54,0.0019038915634155273,0.0006186962127685547,1.4772685063002555e-06,0.9979959994588026,0.9979980288003376
351,snail,conv_1,15,-0.020462000459576468,9.26,0.07684367895126343,0.015984058380126953,1.6541735060604523e-06,0.9979955385192777,0.9979977944108296
